case_id,image_filename,dice,iou,precision,recall,specificity,hd95_mm,latency_ms,tp_px,fp_px,fn_px,tn_px,error_type,possible_cause
OTU_CEUS_49,49.JPG,0.4033,0.2526,0.2716,0.7826,0.9273,11.62,1190.9,1717,4604,477,58738,FALSE_POSITIVE_OVERSEGMENT,Bao gồm nhầm cụm nang noãn nhỏ kế cận hoặc bóng cản âm lưng
OTU_2D_test_1089,1089.JPG,0.9346,0.8772,0.9261,0.9432,0.9686,1.98,1852.3,18198,1452,1096,44790,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_test_1460,1460.JPG,0.706,0.5456,0.6267,0.8083,0.885,7.71,983.1,10213,6084,2422,46817,GOOD_MATCH,Sai lệch nhẹ ở bờ viền ngoại vi của nang
OTU_2D_test_699,699.JPG,0.8605,0.7551,0.7748,0.9675,0.9742,2.12,1603.3,5332,1550,179,58475,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_train_100,100.JPG,0.9466,0.8985,0.9116,0.9843,0.9874,0.6,1320.9,7536,731,120,57149,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_test_472,472.JPG,0.9517,0.9079,0.9095,0.998,0.9805,0.63,722.6,10727,1067,21,53721,EXCELLENT_MATCH,"Ranh giới khối u sắc nét, hồi âm dịch trong điển hình"
OTU_2D_test_1025,1025.JPG,0.4326,0.276,0.2761,0.9988,0.8984,8.15,1409.8,2444,6408,3,56681,FALSE_POSITIVE_OVERSEGMENT,Bao gồm nhầm cụm nang noãn nhỏ kế cận hoặc bóng cản âm lưng
OTU_2D_train_1395,1395.JPG,0.5679,0.3966,0.6238,0.5212,0.9593,3.64,1071.1,3917,2362,3598,55659,FALSE_NEGATIVE_UNDERSEGMENT,"Độ tương phản thấp, ranh giới mờ, suy giảm tín hiệu chùm sóng âm sâu"
OTU_2D_train_746,746.JPG,0.4369,0.2795,0.5789,0.3509,0.9818,3.44,1136.5,1534,1116,2838,60048,FALSE_NEGATIVE_UNDERSEGMENT,"Độ tương phản thấp, ranh giới mờ, suy giảm tín hiệu chùm sóng âm sâu"
OTU_2D_train_499,499.JPG,0.3438,0.2076,0.2076,1.0,0.936,6.37,1241.5,1080,4122,0,60334,FALSE_POSITIVE_OVERSEGMENT,Bao gồm nhầm cụm nang noãn nhỏ kế cận hoặc bóng cản âm lưng
OTU_2D_train_723,723.JPG,0.4223,0.2677,0.2677,1.0,0.9137,7.32,1706.9,2004,5482,0,58050,FALSE_POSITIVE_OVERSEGMENT,Bao gồm nhầm cụm nang noãn nhỏ kế cận hoặc bóng cản âm lưng
