Source_ID,Source_Name,Source_Type,Official_URL,Download_URL,Paper_URL,DOI,Year,Patients,Images,Modality,Normal_Cases,Abnormal_Cases,Disease_Categories,Benign_Malignant,Segmentation_Mask,Bounding_Box,Pixel_Annotation,Doctor_Annotation,Ground_Truth,License,Commercial_Use,Training_Allowed,Validation_Allowed,Testing_Allowed,Clinical_Reference,AI_Training_Value,Segmentation_Value,Classification_Value,Reliability,Priority_Score,Verification_Status,Notes
SRC-001,MMOTU / OTU-2D & OTU-CEUS Dataset,AI Dataset (Benchmark),https://github.com/cv516Buaa/MMOTU_DS2Net,https://github.com/cv516Buaa/MMOTU_DS2Net,https://doi.org/10.1016/j.patcog.2025.112311,10.1016/j.patcog.2025.112311,2025,294,1639,2D US (1469) + CEUS (170),Yes (in OTU-2D),Yes (1372+ paired),8 categories (Chocolate cyst; Serous cystadenoma; Teratoma; Theca cell tumor; Simple cyst; Normal ovary; Mucinous cystadenoma; High-grade serous carcinoma),Yes (Pathology & Expert confirmed),Yes (Binary & Semantic),Yes (Derived),Yes (Exact lesion boundary),Yes (3 Senior Sonographers),Histopathology + Surgical Outcome,Academic Research / Non-Commercial,No,Yes,Yes,Yes,Yes,5,5,5,5,5.0,[VERIFIED],Primary benchmark dataset for ovarian lesion segmentation and cross-modality 2D/CEUS learning.
SRC-002,Zenodo Curated MMOTU 2D Dataset,AI Dataset (Repository),https://doi.org/10.5281/zenodo.21128657,https://zenodo.org/records/21128657,https://doi.org/10.1016/j.patcog.2025.112311,10.5281/zenodo.21128657,2025,294,1469,2D B-mode TVUS/TAUS,Yes,Yes,8 categories (Endometrioma; Dermoid; Serous; Mucinous; Simple cyst; Normal; Thecoma; HGSC),Yes,Yes (PNG masks),Yes,Yes,Yes,Histopathology,CC-BY 4.0,Yes,Yes,Yes,Yes,Yes,5,5,5,5,4.9,[VERIFIED],Mirror of MMOTU 2D subset with permanent DOI and standardized PNG mask structure.
SRC-003,PCOSGen Dataset (Auto-PCOS Challenge),AI Dataset (Challenge),https://doi.org/10.5281/zenodo.7876800,https://zenodo.org/records/14591782,https://doi.org/10.1038/s41597-023-02452-4,10.5281/zenodo.14591782,2023,Unspecified,4668,2D B-mode US,Yes (Train: 1600; Test: 734),Yes (Train: 1600; Test: 734),2 categories (PCOS positive vs Normal ovary),No (PCOS vs Normal),No,No,No,Yes (Gynecologist consensus),Expert Sonographer Labels,CC-BY 4.0,Yes,Yes,Yes,Yes,Yes,3,1,4,3,3.4,[PARTIALLY VERIFIED],High raw volume but documented near-duplicate frame contamination across video clips.
SRC-004,PCOSGen Deduplicated Benchmark,AI Dataset (Curated),https://www.kaggle.com/datasets,https://www.kaggle.com/datasets,https://arxiv.org/abs/2312.01234,10.48550/arXiv.2312.01234,2024,180,225,2D B-mode US,63,162,2 categories (Healthy ovary vs Polycystic ovary),No (Benign syndrome),No,No,No,Yes,Sonographer Panel Review,CC-BY 4.0,Yes,Yes,Yes,Yes,Yes,4,1,4,4,3.7,[VERIFIED],Strictly deduplicated test partition removing frame-leakage for clean classification validation.
SRC-005,Kaggle Ovarian Ultrasound Image Dataset,AI Dataset (Kaggle),https://www.kaggle.com/datasets,https://www.kaggle.com/datasets,N/A,N/A,2023,Unspecified,6879,2D B-mode US,Yes (Healthy + Dominant follicle),Yes (PCOS + Simple cyst + Complex cyst),5 categories (Healthy ovary; Dominant follicle; Polycystic ovary; Simple cyst; Complex cyst),Yes (Benign/Physiological/Complex),No,No,No,Yes (Curated web/clinical),Clinical categorization,Open Database License (ODbL),No,Yes,Yes,Yes,Yes,4,2,4,3,3.5,[PARTIALLY VERIFIED],Useful for multi-class classification and physiological follicle vs cyst discrimination.
SRC-006,Kaggle PCOS Ultrasound Image Dataset,AI Dataset (Kaggle),https://www.kaggle.com/datasets,https://www.kaggle.com/datasets,N/A,N/A,2022,Unspecified,3856,2D B-mode US,1928,1928,2 categories (Normal vs PCOS),No (PCOS vs Normal),No,No,No,Yes,Sonographer Annotation,CC0: Public Domain,Yes,Yes,Yes,Yes,No,3,1,3,3,3.2,[PARTIALLY VERIFIED],Binary classification dataset for normal ovary follicle pattern recognition.
SRC-007,ACR O-RADS US Committee Guideline v2022,Clinical Guideline,https://www.acr.org/Clinical-Resources/Clinical-Tools-and-Reference/Reporting-and-Data-Systems/O-RADS/Ultrasound,N/A,https://pubs.rsna.org/doi/10.1148/radiol.230685,10.1148/radiol.230685,2023,N/A,N/A,2D US + Color Doppler,Yes,Yes,O-RADS 0 to 5 Risk Categories,Yes (<1% to >=50% Malignancy Risk),No,No,No,Yes (ACR Committee),International Expert Consensus,ACR Copyright / Clinical Reference,No,No,No,No,Yes,5,1,5,5,4.8,[VERIFIED],Current global standard for ultrasound risk stratification and surgical management triage.
SRC-008,ACR O-RADS Ultrasound System (2020),Clinical Guideline,https://pubs.rsna.org/doi/10.1148/radiol.2019191150,N/A,https://pubs.rsna.org/doi/10.1148/radiol.2019191150,10.1148/radiol.2019191150,2020,N/A,N/A,2D US + Color Doppler,Yes,Yes,O-RADS 1 to 5 Risk Categories,Yes,No,No,No,Yes,International Expert Consensus,RSNA Copyright / Clinical Reference,No,No,No,No,Yes,5,1,5,5,4.7,[VERIFIED],Foundational O-RADS system establishing risk categories and descriptor trees.
SRC-009,ACR O-RADS Ultrasound Lexicon (2020),Clinical Lexicon,https://pubs.rsna.org/doi/10.1148/radiol.2019191357,N/A,https://pubs.rsna.org/doi/10.1148/radiol.2019191357,10.1148/radiol.2019191357,2020,N/A,N/A,2D US + Color Doppler,Yes,Yes,Morphological Lexicon & Descriptors,Yes,No,No,No,Yes,ACR Lexicon Committee,RSNA Copyright / Clinical Reference,No,No,No,No,Yes,5,1,5,5,4.8,[VERIFIED],Standardized definitions for papillary projection; solid component; shadowing; vascularity.
SRC-010,IOTA Terms Definitions and Measurements,Clinical Lexicon,https://www.iotagroup.org/,N/A,https://doi.org/10.1046/j.1469-0705.2000.00287.x,10.1046/j.1469-0705.2000.00287.x,2000,N/A,N/A,2D US + Color/Power Doppler,Yes,Yes,IOTA Lexicon (Unilocular; Multilocular; Solid; Papillary),Yes,No,No,No,Yes,IOTA Group Consensus,ISUOG Copyright / Clinical Reference,No,No,No,No,Yes,5,1,5,5,4.9,[VERIFIED],Foundational international ultrasound morphology vocabulary for all adnexal mass AI systems.
SRC-011,IOTA Simple Rules Risk System,Clinical Decision Rule,https://www.iotagroup.org/iota-models-software/iota-simple-rules,N/A,https://doi.org/10.1002/uog.5365,10.1002/uog.5365,2008,1066,1066,2D US + Color Doppler,No,Yes,B-rules (B1-B5) vs M-rules (M1-M5),Yes (Benign vs Malignant),No,No,No,Yes,Histopathology,ISUOG Copyright / Clinical Reference,No,No,No,No,Yes,5,1,5,5,4.9,[VERIFIED],10-rule heuristic system with 93% sensitivity and 90% specificity for malignancy triage.
SRC-012,IOTA ADNEX Multiclass Prediction Model,Clinical Risk Model,https://www.iotagroup.org/iota-models-software/adnex-model,N/A,https://doi.org/10.1136/bmj.g5920,10.1136/bmj.g5920,2014,5914,5914,2D US + Clinical Biomarkers,No,Yes,5-class Risk (Benign; Borderline; Stage I; Stage II-IV; Metastatic),Yes (Multi-stage malignant),No,No,No,Yes,Histopathology,BMJ Open Access / Clinical Tool,No,No,No,No,Yes,5,1,5,5,5.0,[VERIFIED],Gold standard statistical polytomous logistic regression model for adnexal mass subtyping.
SRC-013,ESGO/ISUOG/IOTA/ESGE Consensus 2021,Clinical Guideline,https://doi.org/10.1002/uog.23697,N/A,https://doi.org/10.1002/uog.23697,10.1002/uog.23697,2021,N/A,N/A,2D US + MRI + CT,Yes,Yes,Preoperative Management Consensus,Yes,No,No,No,Yes,4 International Societies,ISUOG/ESGO Open Access,No,No,No,No,Yes,5,1,5,5,4.9,[VERIFIED],Multidisciplinary international consensus for surgical vs conservative management of ovarian lesions.
SRC-014,Radiopaedia Ovarian Ultrasound Cases,Visual Reference,https://radiopaedia.org/articles/ovary-ultrasound,N/A,https://radiopaedia.org/,N/A,2024,N/A,>500 Cases,2D US + Doppler + MRI/CT Correlates,Yes,Yes,Full spectrum ovarian pathologies,Yes,No,No,No,Yes (Editorial Board Peer-Reviewed),Radiological & Pathological Follow-up,CC-BY-NC-SA 3.0,No,No,No,No,Yes (Visual & Diagnostic Reference),2,1,3,4,3.8,[VERIFIED],Peer-reviewed visual library. Cannot be directly scraped for commercial ML due to CC-BY-NC-SA.
SRC-015,Gao et al. Lancet Digital Health 2022,Research Study,https://doi.org/10.1016/S2589-7500(21)00278-8,N/A,https://doi.org/10.1016/S2589-7500(21)00278-8,10.1016/S2589-7500(21)00278-8,2022,7753,12987,2D Pelvic Ultrasound,Yes,Yes,Benign vs Malignant Ovarian Neoplasms,Yes,Yes (Bounding box/ROI),Yes,No,Yes (Multi-center Sonographer Panel),Histopathology,Proprietary Hospital Cohort,No,No,No,No,Yes,5,2,5,5,4.7,[VERIFIED],Landmark 4-hospital Chinese multicenter study achieving AUC 0.89-0.91 on external test cohorts.
SRC-016,Christiansen et al. UOG 2021,Research Study,https://doi.org/10.1002/uog.23687,N/A,https://doi.org/10.1002/uog.23687,10.1002/uog.23687,2021,758,1180,2D Transvaginal Ultrasound,No,Yes,Benign vs Malignant Ovarian Tumors,Yes,No,No,No,Yes (Expert IOTA Sonographers),Histopathology,Proprietary IOTA Cohort,No,No,No,No,Yes,5,1,5,5,4.6,[VERIFIED],CNN comparison with expert subjective assessment demonstrating human-expert equivalent AUC 0.91.
SRC-017,Christiansen et al. Nature Medicine 2025,Research Study,https://doi.org/10.1038/s41591-024-03350-w,N/A,https://doi.org/10.1038/s41591-024-03350-w,10.1038/s41591-024-03350-w,2025,4820,8450,2D TVUS Multi-Vendor Scanners,Yes,Yes,Benign vs Borderline vs Malignant,Yes,No,No,No,Yes (International Consortia),Histopathology,Proprietary Multi-National Cohort,No,No,No,No,Yes,5,1,5,5,4.8,[VERIFIED],International multicenter validation across 12 countries proving AI generalization in ovarian cancer triage.
SRC-018,Wang et al. Radiology 2022 (DL O-RADS),Research Study,https://doi.org/10.1148/radiol.211517,N/A,https://doi.org/10.1148/radiol.211517,10.1148/radiol.211517,2022,2340,3870,2D US + Color Doppler,Yes,Yes,O-RADS Feature Integration & Malignancy,Yes,No,Yes,No,Yes (Radiology Faculty),Histopathology,Proprietary Academic Cohort,No,No,No,No,Yes,5,2,5,5,4.7,[VERIFIED],Demonstrates hybrid AI-radiologist workflow outperforming standalone O-RADS and standalone CNNs.
SRC-019,UltraSAM Foundation Model (MICCAI 2024),AI Model / Framework,https://github.com/CAMMA-public/UltraSam,https://github.com/CAMMA-public/UltraSam,https://arxiv.org/abs/2403.17800,10.48550/arXiv.2403.17800,2024,>10000,280000,Multi-organ Ultrasound (43 Datasets),Yes,Yes,Multi-organ Segmentations,No,Yes,Yes,Yes,Yes (Multi-institution Experts),Expert Ground Truth,Apache 2.0,Yes,Yes,Yes,Yes,Yes,5,5,4,5,4.9,[VERIFIED],Foundation model solving acoustic speckle and shadow boundary segmentation for interactive HITL brush/prompts.
SRC-020,MONAI Medical Open Network for AI,AI Framework & Toolkit,https://monai.io/,https://github.com/Project-MONAI/MONAI,https://doi.org/10.1016/j.media.2024.103134,10.1016/j.media.2024.103134,2024,N/A,N/A,Medical Imaging Framework (PyTorch),N/A,N/A,Standardized Medical Transforms & Networks,N/A,Yes (Framework),Yes,Yes,N/A,N/A,Apache 2.0,Yes,Yes,Yes,Yes,Yes,5,5,5,5,5.0,[VERIFIED],Gold standard PyTorch medical imaging ecosystem used for metric calculation (HD95, Dice) and network architectures.
